"FranchiseID","FranchiseCode","FranchiseName","TaxCode","AddressID","ContactUserID","ContactPerson","ContactPhone","ContactEmail","PartnerStatus","CreatedAt"
"1","FRC01","Công ty TNHH Sạc Xanh Sài Gòn","TAX0000000001","1","37","Võ Anh Tuấn","0920000001","partner1@ev.vn","Active","6/1/2026 10:27:39 PM"
"2","FRC02","Công ty CP Năng Lượng Hà Nội","TAX0000000002","2","38","Đặng Như Quỳnh","0920000002","partner2@ev.vn","Active","6/1/2026 10:27:39 PM"
"3","FRC03","Công ty TNHH Trạm Sạc Miền Trung","TAX0000000003","3","39","Bùi Quốc Việt","0920000003","partner3@ev.vn","Active","6/1/2026 10:27:39 PM"
"4","FRC04","Công ty CP Hạ Tầng Bình Dương","TAX0000000004","4","40","Đỗ Minh Thư","0920000004","partner4@ev.vn","Active","6/1/2026 10:27:39 PM"
"5","FRC05","Công ty TNHH Điện Xanh Hải Phòng","TAX0000000005","5","41","Ngô Thanh Phong","0920000005","partner5@ev.vn","Active","6/1/2026 10:27:39 PM"
"6","FRC06","Công ty CP Dịch Vụ Sạc Đồng Nai","TAX0000000006","6","42","Dương Mỹ Linh","0920000006","partner6@ev.vn","Active","6/1/2026 10:27:39 PM"
"7","FRC07","Công ty TNHH Mekong EV","TAX0000000007","7","43","Lý Anh Khoa","0920000007","partner7@ev.vn","Active","6/1/2026 10:27:39 PM"
"8","FRC08","Công ty CP Sạc Biển Vũng Tàu","TAX0000000008","8","44","Mai Thiên An","0920000008","partner8@ev.vn","Active","6/1/2026 10:27:39 PM"
"9","FRC09","Công ty TNHH Năng Lượng Nha Trang","TAX0000000009","9","45","Cao Bảo Trâm","0920000009","partner9@ev.vn","Active","6/1/2026 10:27:39 PM"
"10","FRC10","Công ty CP EV Quảng Ninh","TAX0000000010","10","46","Phan Minh Tâm","0920000010","partner10@ev.vn","Active","6/1/2026 10:27:39 PM"
"11","FRC11","Công ty TNHH Cao Nguyên Xanh","TAX0000000011","11","47","Trịnh Thanh Nhân","0920000011","partner11@ev.vn","Active","6/1/2026 10:27:39 PM"
"12","FRC12","Công ty CP Sạc Điện Nghệ An","TAX0000000012","12","48","Lâm Thu Trang","0920000012","partner12@ev.vn","Active","6/1/2026 10:27:39 PM"
"13","FRC13","Công ty TNHH EV Thanh Hóa","TAX0000000013","13","49","Huỳnh Gia Minh","0920000013","partner13@ev.vn","Active","6/1/2026 10:27:39 PM"
"14","FRC14","Công ty CP Sạc Điện Cố Đô","TAX0000000014","14","50","Vũ Ngọc Diệp","0920000014","partner14@ev.vn","Active","6/1/2026 10:27:39 PM"
"15","FRC15","Công ty TNHH EV Kinh Bắc","TAX0000000015","15","51","Nguyễn Khánh Duy","0920000015","partner15@ev.vn","Active","6/1/2026 10:27:39 PM"
